#Release 12.1 - par M.53d (nt)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Tue Apr 23 16:17:01 2024

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       sumavg_dp_map.ncd
#OUTPUT FILE:      sumavg_dp_pad.csv
#PART TYPE:        xc6slx45
#SPEED GRADE:      -3
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,IOBS,IO_L2N_0,UNUSED,,0,,,,,,,,,
A3,,IOBS,IO_L4N_0,UNUSED,,0,,,,,,,,,
A4,,IOBS,IO_L5N_0,UNUSED,,0,,,,,,,,,
A5,,IOBS,IO_L6N_0,UNUSED,,0,,,,,,,,,
A6,,IOBS,IO_L8N_VREF_0,UNUSED,,0,,,,,,,,,
A7,,IOBS,IO_L10N_0,UNUSED,,0,,,,,,,,,
A8,,IOBS,IO_L33N_0,UNUSED,,0,,,,,,,,,
A9,,IOBS,IO_L35N_GCLK16_0,UNUSED,,0,,,,,,,,,
A10,,IOBS,IO_L37N_GCLK12_0,UNUSED,,0,,,,,,,,,
A11,,IOBS,IO_L39N_0,UNUSED,,0,,,,,,,,,
A12,,IOBS,IO_L41N_0,UNUSED,,0,,,,,,,,,
A13,,IOBS,IO_L50N_0,UNUSED,,0,,,,,,,,,
A14,,IOBS,IO_L62N_VREF_0,UNUSED,,0,,,,,,,,,
A15,,IOBS,IO_L64N_SCP4_0,UNUSED,,0,,,,,,,,,
A16,,IOBS,IO_L66N_SCP0_0,UNUSED,,0,,,,,,,,,
A17,,,TCK,,,,,,,,,,,,
A18,,,GND,,,,,,,,,,,,
B1,,,VCCAUX,,,,,,,,2.5,,,,
B2,,IOBM,IO_L2P_0,UNUSED,,0,,,,,,,,,
B3,,IOBM,IO_L4P_0,UNUSED,,0,,,,,,,,,
B4,,IOBM,IO_L5P_0,UNUSED,,0,,,,,,,,,
B5,,,VCCO_0,,,0,,,,,any******,,,,
B6,,IOBM,IO_L8P_0,UNUSED,,0,,,,,,,,,
B7,,,GND,,,,,,,,,,,,
B8,,IOBM,IO_L33P_0,UNUSED,,0,,,,,,,,,
B9,,IOBM,IO_L35P_GCLK17_0,UNUSED,,0,,,,,,,,,
B10,,,VCCO_0,,,0,,,,,any******,,,,
B11,,IOBM,IO_L39P_0,UNUSED,,0,,,,,,,,,
B12,,IOBM,IO_L41P_0,UNUSED,,0,,,,,,,,,
B13,,,GND,,,,,,,,,,,,
B14,,IOBM,IO_L62P_0,UNUSED,,0,,,,,,,,,
B15,,,VCCO_0,,,0,,,,,any******,,,,
B16,,IOBM,IO_L66P_SCP1_0,UNUSED,,0,,,,,,,,,
B17,,,VCCAUX,,,,,,,,2.5,,,,
B18,,,TMS,,,,,,,,,,,,
C1,,IOBS,IO_L83N_VREF_3,UNUSED,,3,,,,,,,,,
C2,,IOBM,IO_L83P_3,UNUSED,,3,,,,,,,,,
C3,,,GND,,,,,,,,,,,,
C4,,IOBS,IO_L1N_VREF_0,UNUSED,,0,,,,,,,,,
C5,,IOBM,IO_L6P_0,UNUSED,,0,,,,,,,,,
C6,,IOBS,IO_L3N_0,UNUSED,,0,,,,,,,,,
C7,,IOBM,IO_L10P_0,UNUSED,,0,,,,,,,,,
C8,,IOBS,IO_L11N_0,UNUSED,,0,,,,,,,,,
C9,,IOBS,IO_L34N_GCLK18_0,UNUSED,,0,,,,,,,,,
C10,,IOBM,IO_L37P_GCLK13_0,UNUSED,,0,,,,,,,,,
C11,,IOBS,IO_L36N_GCLK14_0,UNUSED,,0,,,,,,,,,
C12,,,NC,,,,,,,,,,,,
C13,,IOBM,IO_L50P_0,UNUSED,,0,,,,,,,,,
C14,,IOBS,IO_L65N_SCP2_0,UNUSED,,0,,,,,,,,,
C15,,IOBM,IO_L64P_SCP5_0,UNUSED,,0,,,,,,,,,
C16,,,GND,,,,,,,,,,,,
C17,mem_addr<3>,IOB,IO_L29P_A23_M1A13_1,OUTPUT,LVCMOS25*,1,12,,,,,UNLOCATED,YES,NONE,
C18,mem_addr<2>,IOB,IO_L29N_A22_M1A14_1,OUTPUT,LVCMOS25*,1,12,,,,,UNLOCATED,YES,NONE,
D1,,IOBS,IO_L52N_M3A9_3,UNUSED,,3,,,,,,,,,
D2,,IOBM,IO_L52P_M3A8_3,UNUSED,,3,,,,,,,,,
D3,,IOBS,IO_L54N_M3A11_3,UNUSED,,3,,,,,,,,,
D4,,IOBM,IO_L1P_HSWAPEN_0,UNUSED,,0,,,,,,,,,
D5,,,GND,,,,,,,,,,,,
D6,,IOBM,IO_L3P_0,UNUSED,,0,,,,,,,,,
D7,,,VCCO_0,,,0,,,,,any******,,,,
D8,,IOBM,IO_L11P_0,UNUSED,,0,,,,,,,,,
D9,,IOBM,IO_L34P_GCLK19_0,UNUSED,,0,,,,,,,,,
D10,,,GND,,,,,,,,,,,,
D11,,IOBM,IO_L36P_GCLK15_0,UNUSED,,0,,,,,,,,,
D12,,,NC,,,,,,,,,,,,
D13,,,VCCO_0,,,0,,,,,any******,,,,
D14,,IOBM,IO_L65P_SCP3_0,UNUSED,,0,,,,,,,,,
D15,,,TDI,,,,,,,,,,,,
D16,,,TDO,,,,,,,,,,,,
D17,mem_addr<7>,IOB,IO_L31P_A19_M1CKE_1,OUTPUT,LVCMOS25*,1,12,,,,,UNLOCATED,YES,NONE,
D18,mem_addr<6>,IOB,IO_L31N_A18_M1A12_1,OUTPUT,LVCMOS25*,1,12,,,,,UNLOCATED,YES,NONE,
E1,mem_datain<30>,IOB,IO_L50N_M3BA2_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
E2,,,VCCO_3,,,3,,,,,2.50,,,,
E3,mem_datain<29>,IOB,IO_L50P_M3WE_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
E4,,IOBM,IO_L54P_M3RESET_3,UNUSED,,3,,,,,,,,,
E5,,,VCCAUX,,,,,,,,2.5,,,,
E6,,,NC,,,,,,,,,,,,
E7,,,NC,,,,,,,,,,,,
E8,,,NC,,,,,,,,,,,,
E9,,,VCCAUX,,,,,,,,2.5,,,,
E10,,,VCCO_0,,,0,,,,,any******,,,,
E11,,,NC,,,,,,,,,,,,
E12,,,NC,,,,,,,,,,,,
E13,,IOBS,IO_L63N_SCP6_0,UNUSED,,0,,,,,,,,,
E14,,,VCCAUX,,,,,,,,2.5,,,,
E15,,,GND,,,,,,,,,,,,
E16,mem_addr<11>,IOB,IO_L33P_A15_M1A10_1,OUTPUT,LVCMOS25*,1,12,,,,,UNLOCATED,YES,NONE,
E17,,,VCCO_1,,,1,,,,,2.50,,,,
E18,mem_addr<10>,IOB,IO_L33N_A14_M1A4_1,OUTPUT,LVCMOS25*,1,12,,,,,UNLOCATED,YES,NONE,
F1,mem_datain<26>,IOB,IO_L48N_M3BA1_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
F2,mem_datain<25>,IOB,IO_L48P_M3BA0_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
F3,,IOBS,IO_L51N_M3A4_3,UNUSED,,3,,,,,,,,,
F4,mem_datain<31>,IOB,IO_L51P_M3A10_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
F5,,IOBS,IO_L55N_M3A14_3,UNUSED,,3,,,,,,,,,
F6,,IOBM,IO_L55P_M3A13_3,UNUSED,,3,,,,,,,,,
F7,,,NC,,,,,,,,,,,,
F8,,,NC,,,,,,,,,,,,
F9,,IOBS,IO_L38N_VREF_0,UNUSED,,0,,,,,,,,,
F10,,,NC,,,,,,,,,,,,
F11,,,NC,,,,,,,,,,,,
F12,,,NC,,,,,,,,,,,,
F13,,IOBM,IO_L63P_SCP7_0,UNUSED,,0,,,,,,,,,
F14,mem_addr<5>,IOB,IO_L30P_A21_M1RESET_1,OUTPUT,LVCMOS25*,1,12,,,,,UNLOCATED,YES,NONE,
F15,mem_addr<1>,IOB,IO_L1P_A25_1,OUTPUT,LVCMOS25*,1,12,,,,,UNLOCATED,YES,NONE,
F16,sel_mem_addr,IOB,IO_L1N_A24_VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
F17,mem_dataout<2>,IOB,IO_L35P_A11_M1A7_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
F18,mem_dataout<3>,IOB,IO_L35N_A10_M1A2_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
G1,mem_datain<22>,IOB,IO_L46N_M3CLKN_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
G2,,,GND,,,,,,,,,,,,
G3,mem_datain<21>,IOB,IO_L46P_M3CLK_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
G4,,,VCCO_3,,,3,,,,,2.50,,,,
